Autor,Title,Year,Volume,Issue,Start Page,End Page,Abstract,DOI,Database
"Ozawa, T. and Matsumoto, M.",Development of a Computational Thinking Learning Tool Using a Railway Toy and Music,2025,,,715,721,Sin Valor,10.1109/SII59315.2025.10871090,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Shoaib, Huma and Cardella, Monica and Madamanchi, Aasakiran and Umulis, David",An Investigation of Undergraduates’ Computational Thinking in a Sophomore-Level Biomedical Engineering Course,2019,,,1,4,Sin Valor,10.1109/FIE43999.2019.9028503,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Dehbozorgi, Nasrin and Nezafati, Maysam and Roopaei, Mehdi",Integrating Computational Thinking Into the Curricula to Bridge the Skill Gap in Engineering Education,2024,,,1,4,Sin Valor,10.1109/FIE61694.2024.10892914,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Surahman, Ence and Hua Wang, Tzu and Turner Lam, Kee-Fui and Sulthoni and Nendra Pratama, Ujang and Nur Aisyah, Eny","Investigating Elementary Teachers' Understanding, Beliefs, and Intentions toward STEM and Computational Thinking in Education",2022,,,175,180,Sin Valor,10.1109/ICITE54466.2022.9759837,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Lewis, Myles and Holloman, Amanda and Hernández Cuevas, Bryan Y. and Crawford, Chris",Exploring Computational Thinking Perspectives in Black Communities with Physiological Computing,2024,,,27,32,Sin Valor,10.1109/BICE60192.2024.00013,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Srisangngam, Pichet and Dechsura, Chaiyos",STEM Education Activities Development to Promote Computational Thinking’s Students,2020,,,103,105,Sin Valor,10.1109/iSTEM-Ed50324.2020.9332734,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Stella, M and Kapuza, A and Cramer, C and Uzzo, S and Latora, Vito",Mapping computational thinking mindsets between educational levels with cognitive network science,2021,9,6,1,13,Sin Valor,10.1093/comnet/cnab020,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"González, Felipe and López, Claudia and Castro, Carlos",Development of Computational Thinking in High School Students: A Case Study in Chile,2018,,,1,8,Sin Valor,10.1109/SCCC.2018.8705239,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Worrell, Benjamin and Brand, Catharine and Repenning, Alexander",Collaboration and Computational Thinking: A classroom structure,2015,,,183,187,Sin Valor,10.1109/VLHCC.2015.7357215,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Zhang, Chunying and Chen, Xiao and Li, JianJing",Research of VB programming teaching mode based on the core of computational thinking ability training,2011,,,1260,1263,Sin Valor,10.1109/ICCSE.2011.6028861,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Zhang, Wei and Song, Lingling and Zeng, Xinyao and Li, Panpan",Exploring the Relationship Between Computational Thinking and Personality Traits,2023,,,101,105,Sin Valor,10.1109/WAIE60568.2023.00026,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Haddad, Rami J. and Kalaani, Youakim",Can computational thinking predict academic performance?,2015,,,225,229,Sin Valor,10.1109/ISECon.2015.7119929,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Wu, Sheng-Yi",The Development and Challenges of Computational Thinking Board Games,2018,,,129,131,Sin Valor,10.1109/IC3.2018.00-45,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Ma, Jingsi and Zhang, Yi and Bin, Hesiqi and Wang, Kang and Liu, Jinfang and Gao, Hanrui",The Development of Students' Computational Thinking Practices in AI Course Using the Game-Based Learning: A Case Study,2022,,,273,277,Sin Valor,10.1109/ISET55194.2022.00065,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Dong, Xueyan and Jia, Jingpeng",Teaching Reform of Software Engineering Course Based on Computational Thinking,2020,,,399,402,Sin Valor,10.1109/ICAICE51518.2020.00084,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Vinayakumar, R and Soman, KP and Menon, Pradeep",Fractal Geometry: Enhancing Computational Thinking with MIT Scratch,2018,,,1,6,Sin Valor,10.1109/ICCCNT.2018.8494172,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Xiaohong, Cong and Jie, Liu and Zhibin, Miao and Li, Xu",Teaching research on the cultivation of computational thinking ability by using information technology,2021,,,564,567,Sin Valor,10.1109/ICAIE53562.2021.00125,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Yin, Li-jie and Zuo, Rui-xin and Zhao, Yang",Teaching and research on assembly language for computational thinking,2011,,,3649,3652,Sin Valor,10.1109/CECNET.2011.5769498,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Chen, Jiefei",Study on Teaching Programming in Adult Colleges Based on the Cultivation of Computational Thinking,2023,,,81,85,Sin Valor,10.1109/CSTE59648.2023.00021,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Chen, Bing-Hong and Chen, Ling-Hsiu and Chen, Chih-Cheng and Chen, Chih-Hung",Influence of Programming Robot Learning Mode Based on Conceptual Mapping on College Students' Computational Thinking,2021,,,617,620,Sin Valor,10.1109/ECICE52819.2021.9645630,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Zhang, Jiaying and Zhang, Yi and Lin, Yuru",The Impact of stem Courses on Students’ Computational Thinking: Mediation based on problem solving ability and stem attitude,2023,,,74,78,Sin Valor,10.1109/ISET58841.2023.00023,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Vlahović, Ines and Biškupić, Ivana Ogrizek",Fostering Critical and Computational Thinking in the Field of Primary and Secondary Education in non-STEM Subjects by Using Data Sets and Applications,2023,,,672,677,Sin Valor,10.23919/MIPRO57284.2023.10159750,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Castellanos, Hugo and Vieira, Camilo and Magana, Alejandra",A Topic Modeling Approach to Characterizing Colombian Teachers' Conceptions of Computational Thinking,2023,,,1,5,Sin Valor,10.1109/FIE58773.2023.10343475,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Zhou, Pinghong and Tang, Yumin and Zhang, Yi and Yu, Yue and Li, Yixin",Does computational thinking really have an impact on academic performance? A systematic review,2024,,,153,157,Sin Valor,10.1109/ISET61814.2024.00038,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Lai, Chien-Hung and Hsieh, Cheng-Han",Exploring the Impact of the Learning Sequence of Computational Thinking and Programming on Learning Outcomes,2023,,,175,179,Sin Valor,10.1109/SSIM59263.2023.10469197,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Borges, Karen Selbach and de Menezes, Crediné Silva and da Cruz Fagundes, Léa",The use of computational thinking in digital fabrication projects a case study from the cognitive perspective,2017,,,1,6,Sin Valor,10.1109/FIE.2017.8190654,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Pale-Parra, Daniel and Pérez-Salazar, Christian and Sánchez-García, Ángel J. and Ocharán-Hernández, Jorge Octavio",Web Systems for the Development of Computational Thinking in Software Engineering Students: A Systematic Literature Review,2023,,,132,139,Sin Valor,10.1109/CONISOFT58849.2023.00026,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Yeh, Kuo-Chuan and Xie, Ying and Ke, Fengfeng",Teaching computational thinking to non-computing majors using spreadsheet functions,2011,,,F3J,1,Sin Valor,10.1109/FIE.2011.6142980,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng",Discussion of Ability Cultivation of Computational Thinking in Course Teaching,2009,,,197,200,Sin Valor,10.1109/ICETC.2009.16,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Sasaki, Yuji and Fukui, Masanori and Hirashima, Tsukasa",Development of iOS Software n-Queens Problem for Education and Its Application for Promotion of Computational Thinking,2019,,,563,565,Sin Valor,10.1109/GCCE46687.2019.9015331,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Chang, Chih-Kai",Using Computational Thinking Patterns to Scaffold Program Design in Introductory Programming Course,2016,,,397,400,Sin Valor,10.1109/IIAI-AAI.2016.27,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Lin, Chia-Ching and Chao, Po-Yao and Lin, En-Ting and Tzeng, Huei-Lin",Exploring the Role of Visual Programming Activities in Computational Thinking,2018,,,135,138,Sin Valor,10.1109/IC3.2018.00-43,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Silva, Diego S. and Melo, Sérgio L. and Basto Diniz, Juliana R.",Developing a didactic sequence for introducing computational thinking in the early years of elementary school,2021,,,526,529,Sin Valor,10.1109/LACLO54177.2021.00095,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Nakamura, Takayasu and Kawasaki, Tetsushi",Computer Science Unplugged for Developing Computational Thinking and Mathematical Thinking,2019,,,305,308,Sin Valor,10.1109/IJCIME49369.2019.00108,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Laura-Ochoa, Leticia and Bedregal-Alpaca, Norka",Development of Computational Thinking Skills: An Experience With Undergraduate Students,2021,,,112,117,Sin Valor,10.1109/LACLO54177.2021.00070,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
Shuiyan He and Yongmin Hang and Yi Ding,Teaching method based on computational thinking a case research,2014,,,817,820,Sin Valor,10.1109/ICCSE.2014.6926576,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Xue, Tianyu and He, Shiyan and Guo, Weitong",Design and implementation of a graphical programming class for computational thinking in elementary schools,2024,,,376,380,Sin Valor,10.1109/ISET61814.2024.00081,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Raia, Marcos Librelon and Martins, André Giacon and Kas, Gustavo Paulino Al and Eliseo, Maria Amelia",FruitSort: the educational computational thinking game with accessibility for hearing-impaired children,2023,,,1,6,Sin Valor,10.23919/CISTI58278.2023.10211961,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Zhao, Miaomiao and Hu, Weixing",A practical research on the training of middle school students' computational thinking based on problem solving in systematic information process view,2022,,,1037,1040,Sin Valor,10.1109/ICEKIM55072.2022.00225,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Wang, Yiwei and Xu, Liancheng",Hot Spots and Trends of Computational Thinking Research in China CiteSpace visualization and analysis based on CNKI data,2023,,,161,165,Sin Valor,10.1109/ITME60234.2023.00042,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Johnson, Charles A. N. and Bin Daud, Moh'd Fadzil and Arsat, Mahyuddin Bin and Bt. Wan Hussin, Wan Nazdah and Egba, Ernest Ituma",Enhancing Synergy Among Engineering Educators through Computational Thinking,2017,,,636,641,Sin Valor,10.1109/WEEF.2017.8467140,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Gardeli, Anna and Vosinakis, Spyros",ARQuest: A Tangible Augmented Reality Approach to Developing Computational Thinking Skills,2019,,,1,8,Sin Valor,10.1109/VS-Games.2019.8864603,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Vinayakumar, R and Soman, KP and Menon, Pradeep",CT-Blocks: Learning Computational Thinking by Snapping Blocks,2018,,,1,7,Sin Valor,10.1109/ICCCNT.2018.8493669,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Chuang, Hui-Chi and Hu, Chiu-Fan and Wu, Cheng-Chih and Lin, Yu-Tzu",Computational Thinking Curriculum for K-12 Education -- A Delphi Survey,2015,,,213,214,Sin Valor,10.1109/LaTiCE.2015.44,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Bauer, Aaron and Butler, Eric and Popović, Zoran",Approaches for teaching computational thinking strategies in an educational game: A position paper,2015,,,121,123,Sin Valor,10.1109/BLOCKS.2015.7369019,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Araújo, Cristiana and Lima, Lázaro V O and Henriques, Pedro Rangel",An Ontology based approach to teach Computational Thinking,2019,,,1,6,Sin Valor,10.1109/SIIE48397.2019.8970131,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Ahmadi, Navid and Jazayeri, Mehdi and Landoni, Monica",Helping Novice Programmers to Bootstrap in the Cloud: Incorporating Support for Computational Thinking into the Game Design Process,2012,,,349,353,Sin Valor,10.1109/ICALT.2012.24,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Ribeiro Silva, Laíza and Pedro da Silva, Alan and Toda, Armando and Isotani, Seiji",Impact of Teaching Approaches to Computational Thinking on High School Students: A Systematic Mapping,2018,,,285,289,Sin Valor,10.1109/ICALT.2018.00072,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Phetsrikran, Titiphan and Massagram, Wansuree and Phoka, Thanathorn and Harfield, Antony",A Feasibility Study of Arducation Bot : An Educational Robotics and Mobile Application Kit for Computational Thinking Skills,2018,,,1,6,Sin Valor,10.1109/ICSEC.2018.8712671,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Wang, Yintong and Li, Shuo",Research on group-based learning teaching mode to computational thinking ability development based on Blackboard system,2021,,,58,61,Sin Valor,10.1109/EIMSS53851.2021.00021,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Chen, Yuxi and Zhao, Yang and Wang, Min",An Empirical Study on the Effect of Gamified Teaching in Scratch Courses on Developing Elementary Students' Computational Thinking,2024,,,78,83,Sin Valor,10.1109/ICEIT61397.2024.10541025,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Handayani, Rif’Ati Dina and Prastowo, Srihandono Budi and Jamalludin and Triyanto and Thohir, Mohammad Anas",Students’ Engagement in Computational Thinking Skills Using A Game Based-Learning,2023,,,148,151,Sin Valor,10.1109/ICET59790.2023.10435201,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Hadi, Mega Ekka and Nur Atiqoh, Khamida Siti and Kadir",Improving Students' Mathematical Computational Thinking Using Scratch Program through Project Based Learning: A Development Research during Pandemic Covid-19,2021,,,1,5,Sin Valor,10.1109/CITSM52892.2021.9588856,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"de Jesus, Ângelo Magno and Frango Silveira, Ismar",A Generator of Game Programming Challenges for Computational Thinking Development,2020,,,1,9,Sin Valor,10.1109/LACLO50806.2020.9381143,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Sonsilphong, Suphachoke and Sonsilphong, Amornthep and Hormdee, Daranee and Sae-Joo, Phongthanat",A Design and Development of Internet of Things (IoT) System and Learning Activity to Promote Computational Thinking,2022,,,1,4,Sin Valor,10.1109/iSTEM-Ed55321.2022.9920899,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Wang, Fan and Chen, Lan and Wang, Wei",Design and Effectiveness Analysis of Interactive Strategies for Teaching Graphical Programming Oriented to Cultivate Computational Thinking,2023,,,10,14,Sin Valor,10.1109/CSTE59648.2023.00009,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Laime-Choque, Adriana Maria and Mamani-Calcina, Jorge Gilbert and Cardona-Reyes, Hector and Ponce-Aranibar, Maria Del Pilar and Vera-Vasquez, Cesar Gonzalo and Espinoza-Suarez, Silvia",Attitude towards Computational Thinking of in-service teachers,2022,,,1,5,Sin Valor,10.1109/JICV56113.2022.9934274,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Parsa, Faraz and Moghadam, Amir Ali Amiri and Ashuri, Turaj",Automated Feedback in Software Engineering: Enhancing Computational Thinking Process,2024,,,1621,1626,Sin Valor,10.1109/SoutheastCon52093.2024.10500041,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Putra, Zetra Hainul and Witri, Gustimal and Dahnilsyah and Gunawan, Yahya and Sumadinata, Herry and Putri, Arisya Ruspina",Prospective Elementary Teachers’ Computational Thinking Skills: A Preliminary Study,2024,,,1,4,Sin Valor,10.1109/IDICAIEI61867.2024.10842752,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Ambrósio, Ana Paula and Xavier, Cleon and Georges, Fouad",Digital ink for cognitive assessment of computational thinking,2014,,,1,7,Sin Valor,10.1109/FIE.2014.7044237,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Ng, Andrew Keong and Atmosukarto, Indriyati and Cheow, Wean Sin and Avnit, Karin and Yong, Mun Hin",Development and Implementation of an Online Adaptive Gamification Platform for Learning Computational Thinking,2021,,,1,6,Sin Valor,10.1109/FIE49875.2021.9637467,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Zhang, Shuhan and Wong, Gary K. W. and Pan, Guangrong","Computational Thinking Test for Lower Primary Students: Design Principles, Content Validation, and Pilot Testing",2021,,,345,352,Sin Valor,10.1109/TALE52509.2021.9678852,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
"Echeverría, Leovy and Cobos, Ruth and Morales, Mario and Moreno, Fernando and Negrete, Victor",Promoting Computational Thinking Skills in Primary School Students to Improve Learning of Geometry,2019,,,424,429,Sin Valor,10.1109/EDUCON.2019.8725088,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.23.16.56.bib
Pierpaolo Cavallo,Chapter 18 - Metabolomics in public health,2022,Sin Valor,Sin Valor,625,642,"The Chapter aims to propose a conceptual framework of Metabolomics in Public Health. As Metabolomics, between the many post-genomic study methods, has a true horizontal approach, because it studies the universe of the small molecules, it unravels signals which are downstream from genes, and much more near to the phenotype phenomena of a disease or condition. To address these concepts, a number of themes are discussed, namely the data integration at different levels, the relationship of Metabolomics with the Systems Biology Public Health Science, the relevance and role of longitudinal and lifelong studies, the role of the quantitative methods, the connection with Big Data in Public Health with the possible evolution towards a “precision public health” and, finally, the process of knowledge integration in the fields of policies, training and resources, with the final goal of a strong translation of Metabolomic tools from research to practice.",https://doi.org/10.1016/B978-0-323-85062-9.00018-0,analisis/static/assets/Data_Base\ScienceDirect_citations_1742275036118.bib
Pierpaolo Cavallo,Chapter 18 - Metabolomics in public health,2022,Sin Valor,Sin Valor,625,642,"The Chapter aims to propose a conceptual framework of Metabolomics in Public Health. As Metabolomics, between the many post-genomic study methods, has a true horizontal approach, because it studies the universe of the small molecules, it unravels signals which are downstream from genes, and much more near to the phenotype phenomena of a disease or condition. To address these concepts, a number of themes are discussed, namely the data integration at different levels, the relationship of Metabolomics with the Systems Biology Public Health Science, the relevance and role of longitudinal and lifelong studies, the role of the quantitative methods, the connection with Big Data in Public Health with the possible evolution towards a “precision public health” and, finally, the process of knowledge integration in the fields of policies, training and resources, with the final goal of a strong translation of Metabolomic tools from research to practice.",https://doi.org/10.1016/B978-0-323-85062-9.00018-0,analisis/static/assets/Data_Base\ScienceDirect_citations_1742275040762.bib
